,mean,median,std,q25,q75,min,max,count
force_mean,8.237698685170686,8.288495273468365,0.513445893487135,7.785793700549382,8.59786076265917,7.207151865356558,9.075230575077713,27
force_std,4.352636135406753,4.321973143448476,0.38007194191266075,4.083863147952545,4.657999473294515,3.586466932589818,5.122273940046548,27
force_variance,19.08454583490644,18.6794518526899,3.345808413390461,16.677938614821674,21.698705968166326,12.862745058560217,26.237690316879988,27
force_min,0.9776592342908318,0.7929417141199446,0.42200862850398124,0.7406798894547193,1.1247177499597902,0.4137824454248468,2.030521093017808,27
force_max,14.528672848076537,14.58819294049823,0.23638609537140517,14.332674581658685,14.708346755369742,14.004208686718822,14.837799724651646,27
torque_mean,-0.002992596638308959,-0.0029283721194834555,0.010981604170747701,-0.008915990744067018,0.003716656743917841,-0.026585340934362954,0.02295539511583537,27
torque_std,0.12026547109738768,0.12217869803567795,0.01721215625859525,0.10981400432882696,0.13337157148656137,0.08290303794854309,0.14936643589983803,27
torque_variance,0.014749069330862806,0.014927634253693376,0.004057116680725258,0.01205926973680312,0.017788078467905137,0.006872913701097576,0.022310332173420426,27
torque_min,-0.27492182125676073,-0.2827106534303061,0.033535584590191674,-0.3012214412886526,-0.2546901039823075,-0.3124902156456452,-0.19799477411337257,27
torque_max,0.27771026517182357,0.2795868792672761,0.028232948596316244,0.2506735986164796,0.30284685997519595,0.23390817409100917,0.3152846533459398,27
max_force_rate,41.86960547481994,43.523904764551645,6.8088556022477205,38.11379461444754,47.09401812188797,25.311500591968134,52.050344635244365,27
mean_force_rate,7.736689955271027,7.830559964737731,1.2247135819121677,6.725182421133867,8.62026490135698,5.342418191057345,10.166858429440166,27
max_torque_rate,29.30215874848045,29.8772124732658,2.0185781161647744,27.948989198614527,30.783209588775637,24.771410109628576,31.528465334593978,27
mean_torque_rate,7.759849133065926,7.988506363931964,1.3342761689933367,6.936172978009679,8.729049729053205,4.7634614959791275,10.297256838090552,27
force_jerk_rms,142.7704308738252,143.49786539682268,22.30983856356003,124.976753254354,160.96577657544339,103.05429821047484,181.54568165928274,27
torque_jerk_rms,126.8733543357984,127.6269217282328,18.309249859326236,115.53467765534143,139.80974633923745,86.63400603405414,160.84643567545214,27
force_jerk_max,299.06861053442816,310.8850340325117,48.634682873197995,272.24139010319675,336.38584372777115,180.79643279977236,371.78817596603113,27
torque_jerk_max,217.0530277665218,221.31268498715406,14.952430490109444,207.02954961936683,228.02377473167138,183.49192673798944,233.54418766365907,27
force_reversals,37.333333333333336,38.0,5.262348115842176,34.0,40.0,26.0,50.0,27
torque_reversals,27.40740740740741,27.0,4.43117677771127,24.5,29.5,18.0,38.0,27
pct_extreme_force,15.579651115412553,14.634146341463413,4.419117594912265,12.333965844402275,18.76178504085481,8.51063829787234,24.528301886792452,27
pct_extreme_torque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
time_extreme_force,0.8592592592592594,0.8400000000000001,0.2667168756151207,0.56,1.1150000000000002,0.56,1.6700000000000002,27
time_extreme_torque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
force_total_variation,82.21325897025382,82.29042603409738,17.102336611181663,69.47690001766199,94.78954356475555,51.37863903582807,121.09448626423072,27
torque_total_variation,5.799821421841563,5.785065926744581,1.1801889201532363,5.192474170793631,6.543925204715263,3.4335749558236923,7.885112344425125,27
n_steps,40.333333333333336,41.0,5.262348115842176,37.0,43.0,29.0,53.0,27
n_commands,40.333333333333336,41.0,5.262348115842176,37.0,43.0,29.0,53.0,27
duration,5.496666666666666,5.59,0.7367287362179046,5.029999999999999,5.87,3.91,7.27,27
original_steps,550.6666666666666,560.0,73.67287362179046,504.0,588.0,392.0,728.0,27
compression_ratio,13.647046823764757,13.658536585365853,0.04750294042564332,13.621621621621621,13.674418604651162,13.517241379310345,13.735849056603774,27
