,mean,median,std,q25,q75,min,max,count
max_load_angle,0.7804778545013699,0.7853981633974483,0.022004290323856784,0.7853981633974483,0.7853981633974483,0.686991985475879,0.7853981633974483,20
mean_abs_load_angle,0.2939999887359298,0.28877821243666035,0.08305623963167824,0.23444453998343762,0.350083926823179,0.14144436769723207,0.4221555938337732,20
rms_load_angle,0.39021934080733894,0.3823639637704107,0.08951278890360395,0.34261550395011586,0.4458222210341252,0.2086746019825405,0.5273506688274674,20
max_load_angular_vel,2.094395102393195,2.0943951023931953,4.556259157007654e-16,2.0943951023931953,2.0943951023931953,2.0943951023931953,2.0943951023931953,20
rms_load_angular_vel,1.3715459488881756,1.36723601003927,0.1949212668099702,1.2580544842877075,1.4550189482753073,1.0122988929388563,1.7188722178151814,20
mean_abs_load_angular_vel,1.137167857235261,1.0959788527172043,0.23766693765665467,0.9783971112414257,1.2238605320368179,0.721329363903709,1.5622220991414226,20
load_angular_accel_rms,8.728319238454313,8.740983200661544,1.1277292877969636,8.00714765322097,9.668589916392005,6.852752619835744,11.230440027324015,20
load_angular_accel_max,33.44305059246919,33.95229232506222,2.359886398423333,32.617772285616226,35.44466139860852,28.231852888604525,35.61428552518699,20
mean_abs_load_angular_accel,4.789055442457086,4.760322699193422,1.0563413225578078,4.272414258987534,5.497616475824687,2.385979092688785,7.221166601565516,20
load_angle_reversals,14.9,16.0,5.240530306632797,11.25,18.25,6.0,25.0,20
pct_time_large_swing,34.48413127456635,33.021223470661674,13.13916183199809,22.10293273060748,43.46432868876759,12.62488646684832,54.890219560878236,20
time_large_swing,2.7279999999999998,2.385,1.148626639902948,2.01,3.5300000000000002,1.27,5.72,20
num_violent_accel_events,252.35,243.0,103.99406612626359,183.0,319.75,42.0,432.0,20
n_steps,836.0,851.0,245.53914898486255,676.0,1026.0,401.0,1101.0,20
duration,8.359999999999998,8.51,2.4553914898486253,6.76,10.26,4.01,11.01,20
