,mean,median,std,q25,q75,min,max,count
max_load_angle,0.7853981633974485,0.7853981633974483,2.278129578503827e-16,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,20
mean_abs_load_angle,0.3291297778119509,0.341954272473462,0.05607835119942774,0.30177279723373707,0.3652311633745722,0.21399816501877478,0.41398084254787104,20
rms_load_angle,0.418682917341408,0.42337373974689413,0.04850354365312032,0.3918591149393987,0.45809447543518317,0.3301203672088347,0.48472981972777707,20
max_load_angular_vel,2.094395102393195,2.0943951023931953,4.556259157007654e-16,2.0943951023931953,2.0943951023931953,2.0943951023931953,2.0943951023931953,20
rms_load_angular_vel,1.5891273177799041,1.6489210302255601,0.18095765394245028,1.4784364025190708,1.7033697507483296,1.263722577011048,1.8233230459240215,20
mean_abs_load_angular_vel,1.405359256734963,1.4574074353297992,0.245023907832316,1.2816478300429668,1.5891746373398716,0.9232306340978398,1.7281214191452128,20
load_angular_accel_rms,9.934228985848623,9.997707436876837,1.1103313569182678,8.989614989278985,10.708227328272743,8.202627363440403,11.883187578044206,20
load_angular_accel_max,32.43311462229206,33.098039365394754,3.250288403447403,29.80995233109174,35.51419862040177,25.5719266289109,35.61467725346537,20
mean_abs_load_angular_accel,5.628308693885069,5.776274396834394,0.947224133756782,5.025728551697785,6.246295498667221,3.7984013308036286,7.099289712432682,20
load_angle_reversals,10.9,9.5,4.506136167260676,8.0,14.0,5.0,20.0,20
pct_time_large_swing,41.11091041757751,41.50724767693078,9.30373737830952,34.95705890915472,47.706109258688485,25.392296718972894,55.86034912718204,20
time_large_swing,2.591,2.29,1.021082500919593,1.9325,3.1775,0.87,5.3500000000000005,20
num_violent_accel_events,216.45,190.0,95.1444746300676,154.25,257.0,76.0,434.0,20
n_steps,641.0,551.0,239.2972166464475,501.0,801.0,301.0,1201.0,20
duration,6.410000000000001,5.51,2.3929721664644754,5.01,8.01,3.0100000000000002,12.01,20
