,mean,median,std,q25,q75,min,max
force_variance,27.090025423979437,27.521165540637597,9.982794319819602,20.99978717840121,32.93801671476288,0.0,50.580897928704
torque_variance,0.08919370690505155,0.07862564145403145,0.058224054278496265,0.0534661290431585,0.11639253566501173,0.0015618397489232734,0.28011327827956306
max_force_rate,1272.7329620231262,1451.7359999999999,319.8703152332079,1175.8544604505948,1451.7359999999999,0.0,1451.7359999999999
mean_force_rate,4.2816998003982585,4.242712317784074,1.5915576669000329,3.496989161583669,5.273945552777314,0.0,7.721576674865193
max_torque_rate,80.8156320833108,74.95911840071662,32.50922327019363,63.17259887840639,104.28230972001103,10.28638663742581,127.02689999999998
mean_torque_rate,0.30374056030163044,0.29903488356410435,0.13787144025301043,0.20883413785254326,0.35624611594522765,0.04176260775046601,0.8235646169770825
force_jerk_rms,1.0,1.0,0.0,1.0,1.0,1.0,1.0
torque_jerk_rms,1.0,1.0,0.0,1.0,1.0,1.0,1.0
force_reversals,9.54,8.0,4.930670862216941,6.0,12.0,0.0,22.0
torque_reversals,14.22,14.0,4.898113427791883,10.0,18.0,6.0,28.0
time_extreme_force,4.11,4.0,1.7401671811012347,3.0,5.0,1.0,10.0
time_extreme_torque,0.0,0.0,0.0,0.0,0.0,0.0,0.0
force_total_variation,34.81239610599298,33.12530200891048,16.267943674774305,23.054646708909182,43.134626767870174,0.0,92.58170433163366
torque_total_variation,2.4630689335233145,2.2914022028233685,1.261048562034256,1.5688875134208624,3.1031409989118366,0.2083954126748254,6.46442382709495
