,mean,median,std,q25,q75,min,max,count
force_mean,10.343259357283603,10.431219046658233,1.6197178639686671,9.17637266671186,11.278680419257363,3.9812759999999994,14.869296,100
force_std,5.072983563202178,5.24605114945297,1.1698498528624866,4.5825443040451965,5.739163031667915,0.0,7.11202488245816,100
force_variance,27.090025423979437,27.521165540637597,9.982794319819602,20.99978717840121,32.93801671476288,0.0,50.580897928704,100
force_min,1.1629924724112028,0.35193599999999997,2.6355483650187406,0.35193599999999997,0.35193599999999997,0.35193599999999997,14.869296,100
force_max,14.869296000000002,14.869296,1.785305796991587e-15,14.869296,14.869296,14.869296,14.869296,100
torque_mean,0.011059301354739072,0.017288315297988167,0.1018148903943524,-0.05211709374264417,0.07890810577580229,-0.22595947137800806,0.2927227054936026,100
torque_std,0.2810439786735058,0.28040190417798627,0.10154358648372298,0.23121244413076947,0.3411634712590641,0.03952011828073486,0.5292572893022477,100
torque_variance,0.08919370690505155,0.07862564145403145,0.058224054278496265,0.0534661290431585,0.11639253566501173,0.0015618397489232734,0.28011327827956306,100
torque_min,-0.4249434150698306,-0.6351344999999999,0.2393838134026423,-0.6351344999999999,-0.18537452592553194,-0.6351344999999999,-0.0006678341555777108,100
torque_max,0.47848538196689666,0.6351344999999999,0.22320705156288284,0.2895585344751836,0.6351344999999999,0.004692730060156895,0.6351344999999999,100
max_force_rate,1272.7329620231262,1451.7359999999999,319.8703152332079,1175.8544604505948,1451.7359999999999,0.0,1451.7359999999999,100
mean_force_rate,4.2816998003982585,4.242712317784074,1.5915576669000329,3.496989161583669,5.273945552777314,0.0,7.721576674865193,100
max_torque_rate,80.8156320833108,74.95911840071662,32.50922327019363,63.17259887840639,104.28230972001103,10.28638663742581,127.02689999999998,100
mean_torque_rate,0.30374056030163044,0.29903488356410435,0.13787144025301043,0.20883413785254326,0.35624611594522765,0.04176260775046601,0.8235646169770825,100
force_jerk_rms,9222.274197511044,9264.300110901944,2720.2524305112865,7769.527757995868,11001.431748412684,0.0,14553.790069826582,100
torque_jerk_rms,594.2429458244357,578.865185502642,243.13712826608128,455.97103466196836,728.0576196323022,75.94829642977695,1322.3842541895156,100
force_jerk_max,127273.29620231262,145173.59999999998,31987.031523320784,117585.44604505948,145173.59999999998,0.0,145173.59999999998,100
torque_jerk_max,8081.56320833108,7495.911840071662,3250.9223270193634,6317.259887840639,10428.230972001102,1028.638663742581,12702.689999999999,100
force_reversals,9.54,8.0,4.930670862216941,6.0,12.0,0.0,22.0,100
torque_reversals,14.22,14.0,4.898113427791883,10.0,18.0,6.0,28.0,100
pct_extreme_force,51.13299200799201,50.0,18.3993872284983,36.36363636363637,62.5,20.0,100.0,100
pct_extreme_torque,19.498939948939952,16.666666666666664,15.515893976131595,10.0,25.0,0.0,71.42857142857143,100
time_extreme_force,4.11,4.0,1.7401671811012347,3.0,5.0,1.0,10.0,100
time_extreme_torque,1.52,1.0,1.1932469919670379,1.0,2.0,0.0,6.0,100
force_total_variation,34.81239610599298,33.12530200891048,16.267943674774305,23.054646708909182,43.134626767870174,0.0,92.58170433163366,100
torque_total_variation,2.4630689335233145,2.2914022028233685,1.261048562034256,1.5688875134208624,3.1031409989118366,0.2083954126748254,6.46442382709495,100
n_steps,818.0,800.0,242.6203752050649,600.0,1000.0,400.0,1500.0,100
n_commands,818.0,800.0,242.6203752050649,600.0,1000.0,400.0,1500.0,100
duration,8.18,8.0,2.426203752050649,6.0,10.0,4.0,15.0,100
